"","IO","Year","Decade","TALK.Part","TALK.Trans","DEC.Part","DEC.Trans","ACT.Part.1","ACT.Part.2","ACT.Part.3","ACT.Part.4","ACT.Trans.1","RB.Budget.All","RB.Budget.Staff","RB.Inequality","RB.Complexity","NB.visibility.1","NB.visibility.2","NB.dem.mem","NB.gov.depth","NB.og.norm"
"22","IAEA",1978,"1970s",0,0,2,1,6,9,0,83,0.0141293920134309,132917142.62944,0.698425070951753,0.777528385148036,5,38,0,0.313131313131313,2,0.0152801460373553
"23","IAEA",1979,"1970s",0,0,2,1,6,7,2,78,0.0125191838945563,163096932.515337,0.6445608016611,0.776018400967954,5,29,0,0.333333333333333,2,0.0655426080076183
"24","IAEA",1980,"1970s",0,0,2,1,8,12,0,78,0.0121777062290655,173384355.655599,0.645678082725314,0.774593033758805,5,37,0.027027027027027,0.333333333333333,2,0.0546301698323149
"25","IAEA",1981,"1980s",0,0,2,1,9,17,0,131,0.0141098418482958,176262043.975953,0.701881701590861,0.775489638791517,5,122,0,0.333333333333333,2,0.00617367046373829
"26","IAEA",1982,"1980s",0,0,2,1,7,9,0,173,0.0128499126165534,191891210.793626,0.661974562830213,0.774140810773929,5,86,0,0.343434343434343,2,0.0101097891169744
"27","IAEA",1983,"1980s",0,0,2,1,11,14,0,174,0.0127052283311034,179805307.424053,0.647365091218354,0.777810219364166,5,56,0.0357142857142857,0.363636363636364,2,0.00775734115832094
"28","IAEA",1984,"1980s",0,0,2,1,12,16,1,181,0.013327428341899,174863574.966231,0.67638861709907,0.776222343439175,5,63,0.0158730158730159,0.35,2,0.00537935654354449
"29","IAEA",1985,"1980s",0,0,2,1,14,22,1,206,0.0135691668123628,179669121.496632,0.560880587446821,0.778412200759577,5,79,0,0.37,2,0.00874647729243172
"30","IAEA",1986,"1980s",1,0,2,2,14,21,0,231,0.0129506401617251,162468781.005166,0.552947060309973,0.77887370353731,5,311,0.045016077170418,0.376237623762376,2,0.0741171637952398
"31","IAEA",1987,"1980s",2,0,2,2,12,17,2,223,0.00934885242836442,214111995.195917,0.555901463095405,0.779139616394589,5,120,0.00833333333333333,0.386138613861386,2,0.0770539132499692
"32","IAEA",1988,"1980s",0,0,2,2,14,18,1,258,0.0125605977216011,213765149.56163,0.554823314761341,0.78058283960326,5,146,0.0136986301369863,0.396039603960396,2,0.0402351013617519
"33","IAEA",1989,"1980s",0,0,2,3,13,18,0,152,0.0134451133446689,236306236.42569,0.563921403858905,0.782392526892807,5,85,0.0117647058823529,0.405940594059406,2,0.142651476464639
"34","IAEA",1990,"1980s",1,0,2,4,11,15,3,188,0.0138113522115846,236888323.734012,0.566739081011443,0.777856246286202,5,157,0.0127388535031847,0.436893203883495,2,0.406086921866944
"35","IAEA",1991,"1990s",0,0,2,4,14,16,2,176,0.0135067611879704,278165312.947922,0.569001072213027,0.778846347115425,5,821,0.00243605359317905,0.438095238095238,3,0.596895720073043
"36","IAEA",1992,"1990s",0,0,2,4,14,23,1,190,0.0135485659409744,285960591.133005,0.56358519706555,0.780972489182567,5,653,0.0137825421133231,0.490566037735849,3,0.820373386445361
"37","IAEA",1993,"1990s",2,1,2,5,12,18,2,215,0.0133746902264774,257204286.208088,0.563854469608597,0.783046121948197,5,839,0.00357568533969011,0.508928571428571,3,1.1884037021126
"38","IAEA",1994,"1990s",2,0,2,5,11,20,0,177,0.0139987078115866,264019495.024707,0.562052733593822,0.785995236101017,5,1261,0.0182394924662966,0.51304347826087,3,1.54656333961611
"39","IAEA",1995,"1990s",1,1,2,6,13,22,1,108,0.0139063921719371,272547277.404981,0.569240987363576,0.787582106960578,5,388,0.0128865979381443,0.5,3,1.95939084290941
"40","IAEA",1996,"1990s",2,0,2,7,13,32,1,91,0.0139240506329114,278824739.851269,0.570766500070064,0.788392561311747,5,226,0.00884955752212389,0.512820512820513,3,2.62167619169418
"41","IAEA",1997,"1990s",0,3,2,7,14,28,1,100,NA,NA,NA,0.792546641576794,5,224,0,0.512605042016807,3,2.57486105326166
"42","IAEA",1998,"1990s",3,3,2,8,15,25,5,152,0.0147177028188143,274212099.716255,0.541560187366612,0.794276331582326,5,515,0.0155339805825243,0.508333333333333,3,2.54415356448767
"43","IAEA",1999,"1990s",2,0,2,8,20,46,2,192,0.0141274756143719,273868191.979618,0.552874517189645,0.798127213471514,5,261,0.053639846743295,0.5,3,3.42097627115123
"44","IAEA",2000,"1990s",4,2,2,9,20,50,4,136,0.0138779891573981,270747701.212587,0.560988282412795,0.799855832607784,5,232,0.0560344827586207,0.51219512195122,3,4.00735899575011
"45","IAEA",2001,"2000s",3,2,2,9,16,40,1,153,0.0138964783445065,268716424.324905,0.562049463999325,0.80220580928509,5,242,0.0454545454545455,0.504,3,3.89567238689991
"46","IAEA",2002,"2000s",6,4,2,10,13,35,0,151,0.0375060743670091,280654642.932725,0.580536052415503,0.802915150550368,5,1457,0.00892244337680165,0.535433070866142,3,3.78523891786387
"47","IAEA",2003,"2000s",2,1,2,10,20,35,4,107,0.0377616441598616,282450376.927865,0.585705015977179,0.80537158512875,5,3193,0.0134669589727529,0.53125,3,3.88495005276823
