VariableCode,RegionCode,YearCode,AggValue
rgdpna,BHR,1976,7923.44648400031000000
rgdpna,BHR,1977,8954.89298090452000000
rgdpna,BHR,1978,9300.75500385314000000
rgdpna,BHR,1979,9623.42312320068000000
rgdpna,BHR,1980,9871.73431739200000000
rgdpna,BHR,1981,9215.48330303307000000
rgdpna,BHR,1982,8523.75926245119000000
rgdpna,BHR,1983,9246.18111490306000000
rgdpna,BHR,1984,9699.14438999951000000
rgdpna,BHR,1985,8145.15290719559000000
rgdpna,BHR,1986,8237.24634280559000000
rgdpna,BHR,1987,8394.82844834490000000
rgdpna,BHR,1988,9152.04115885609000000
rgdpna,BHR,1989,9373.74758205137000000
rgdpna,BHR,1990,9807.60999442068000000
rgdpna,BHR,1991,10254.43370820620000000
rgdpna,BHR,1992,11053.94117973020000000
rgdpna,BHR,1993,11966.68947002840000000
rgdpna,BHR,1994,12249.79152227900000000
rgdpna,BHR,1995,12513.79270648720000000
rgdpna,BHR,1996,12901.26731696970000000
rgdpna,BHR,1997,13279.29128402540000000
rgdpna,CAF,1989,2047.66253246385000000
rgdpna,CAF,1990,2016.02430120673000000
rgdpna,CAF,1991,2039.81025795726000000
rgdpna,CAF,1992,2012.66472361223000000
rgdpna,CAF,1993,2005.65287400709000000
rgdpna,CAF,1994,2109.47404497516000000
rgdpna,CAF,1995,2218.17595100078000000
rgdpna,CAF,1996,2050.74449465475000000
rgdpna,CAF,1997,2176.26626517052000000
rgdpna,CAF,1998,2275.34379375060000000
rgdpna,CAF,1999,2410.45599232504000000
rgdpna,CAF,2000,2456.78222488353000000
rgdpna,CAF,2001,2472.27158097936000000
rgdpna,CAF,2002,2457.19111802449000000
rgdpna,CAF,2003,2283.91763357833000000
rgdpna,CAF,2004,2347.14030305842000000
rgdpna,CAF,2005,2403.04339979607000000
rgdpna,CAF,2006,2493.84975494771000000
rgdpna,CAF,2007,2586.40903316449000000
rgdpna,CAF,2008,2638.67119348518000000
rgdpna,CAF,2009,2683.77514299209000000
rgdpna,CAF,2010,2765.55105368265000000
rgdpna,CAF,2011,2856.85176922583000000
rgdpna,CAN,1950,150703.70672531100000000
rgdpna,CAN,1951,157290.18475566900000000
rgdpna,CAN,1952,170464.93699906900000000
rgdpna,CAN,1953,178861.71942633100000000
rgdpna,CAN,1954,176854.65560377700000000
rgdpna,CAN,1955,193193.84817639200000000
rgdpna,CAN,1956,211082.17089294600000000
rgdpna,CAN,1957,216448.66925634600000000
rgdpna,CAN,1958,220026.33999339000000000
rgdpna,CAN,1959,228970.49360950100000000
rgdpna,CAN,1960,236125.81959925600000000
rgdpna,CAN,1961,242808.62566825100000000
rgdpna,CAN,1962,259515.63309857100000000
rgdpna,CAN,1963,272881.24523656000000000
rgdpna,CAN,1964,290702.07174343500000000
rgdpna,CAN,1965,309636.68635819800000000
rgdpna,CAN,1966,330798.90815740300000000
rgdpna,CAN,1967,339709.30592650700000000
rgdpna,CAN,1968,357530.13243338200000000
rgdpna,CAN,1969,376464.74704814500000000
rgdpna,CAN,1970,386488.96389380300000000
rgdpna,CAN,1971,402403.25617383100000000
rgdpna,CAN,1972,424317.55635366700000000
rgdpna,CAN,1973,453867.89199491600000000
rgdpna,CAN,1974,470620.09981792100000000
rgdpna,CAN,1975,479199.37780081400000000
rgdpna,CAN,1976,504114.40272734500000000
rgdpna,CAN,1977,521547.84126030700000000
rgdpna,CAN,1978,542167.71115725400000000
rgdpna,CAN,1979,562796.77445109700000000
rgdpna,CAN,1980,574967.91260106700000000
rgdpna,CAN,1981,595109.72585944800000000
rgdpna,CAN,1982,578095.50622492100000000
rgdpna,CAN,1983,593807.02151935300000000
rgdpna,CAN,1984,628333.74290014400000000
rgdpna,CAN,1985,658368.57055778700000000
rgdpna,CAN,1986,674306.24341584900000000
rgdpna,CAN,1987,702985.96437109300000000
rgdpna,CAN,1988,737955.80748224700000000
rgdpna,CAN,1989,757285.84379475300000000
rgdpna,CAN,1990,758747.59390114000000000
rgdpna,CAN,1991,742873.35548165700000000
rgdpna,CAN,1992,749374.92576616400000000
rgdpna,CAN,1993,766899.37892839200000000
rgdpna,CAN,1994,803742.83632685200000000
rgdpna,CAN,1995,826315.38372440600000000
rgdpna,CAN,1996,839691.77620737900000000
rgdpna,CAN,1997,875176.44954468100000000
rgdpna,CAN,1998,911036.21347532100000000
rgdpna,CAN,1999,961432.57657714700000000
rgdpna,CAN,2000,1011747.11844660000000000
rgdpna,CAN,2001,1029794.67589219000000000
rgdpna,CAN,2002,1059911.32478220000000000
rgdpna,CAN,2003,1079849.04462950000000000
rgdpna,CAN,2004,1113540.08623249000000000
rgdpna,CAN,2005,1147158.50000000000000000
rgdpna,CAN,2006,1179543.15990414000000000
rgdpna,CAN,2007,1205493.36132110000000000
rgdpna,CAN,2008,1213795.91805744000000000
rgdpna,CAN,2009,1180176.58495024000000000
rgdpna,CAN,2010,1218118.65327771000000000
rgdpna,CAN,2011,1248079.01442050000000000
rgdpna,COD,1950,7594.44859698616000000
rgdpna,COD,1951,8704.60057822434000000
rgdpna,COD,1952,9328.54714585218000000
rgdpna,COD,1953,10279.50969611110000000
rgdpna,COD,1954,10734.23634555690000000
rgdpna,COD,1955,11422.91583842260000000
rgdpna,COD,1956,12063.99245956330000000
rgdpna,COD,1957,12183.84354196050000000
rgdpna,COD,1958,11920.79372871070000000
rgdpna,COD,1959,12178.29163663700000000
rgdpna,COD,1960,13289.77499711290000000
rgdpna,COD,1961,11889.16673406420000000
rgdpna,COD,1962,13582.82396480760000000
rgdpna,COD,1963,13938.79811963540000000
rgdpna,COD,1964,13996.41396041550000000
rgdpna,COD,1965,13704.52523312940000000
rgdpna,COD,1966,14545.13490600880000000
rgdpna,COD,1967,14379.14641233300000000
rgdpna,COD,1968,15306.90887084370000000
rgdpna,COD,1969,16517.05039744900000000
rgdpna,COD,1970,16475.87735976560000000
rgdpna,COD,1971,17765.08318195640000000
rgdpna,COD,1972,17865.45088355360000000
rgdpna,COD,1973,19303.47778053250000000
rgdpna,COD,1974,20475.01112497900000000
rgdpna,COD,1975,18438.23897370130000000
rgdpna,COD,1976,17206.13891274020000000
rgdpna,COD,1977,17081.54452456480000000
rgdpna,COD,1978,16176.67683207220000000
rgdpna,COD,1979,16128.13986772390000000
rgdpna,COD,1980,16516.43558251000000000
rgdpna,COD,1981,16991.40444791810000000
rgdpna,COD,1982,16915.13207537080000000
rgdpna,COD,1983,17147.41611903750000000
rgdpna,COD,1984,18107.75462792820000000
rgdpna,COD,1985,18190.96085252520000000
rgdpna,COD,1986,19050.75850669450000000
rgdpna,COD,1987,19560.39663235130000000
rgdpna,COD,1988,19671.33826514730000000
rgdpna,COD,1989,19404.38496123190000000
rgdpna,COD,1990,18128.55618407740000000
rgdpna,COD,1991,16772.98810835090000000
rgdpna,BDI,1960,1188.55469185961000000
rgdpna,BDI,1961,1019.11639272373000000
rgdpna,BDI,1962,1105.36717079204000000
rgdpna,BDI,1963,1171.16597910723000000
rgdpna,BDI,1964,1247.67164744559000000
rgdpna,BDI,1965,1308.66025350057000000
