NGO;Acronym;Activities.Area;First Presence;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
INTERNATIONAL UNION OF PRODUCERS AND DISTRIBUTORS OF ELECTRICAL ENERGY;UNIPEDE;Professional Association;1959;;;1;1;1;;1;1;;;1;2;2;;1;;;1;;;;;;;;;2;2;2;?;;;;;;;;;;;;1;1;;;;;;;;;;;;
INTERNATIONAL UNION OF RADIOECOLOGY;;Science and Research;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
JAPAN ATOMIC INDUSTRIAL FORUM, INC;JAIF;Industry;1960;;;;2;1;1;2;2;4;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2;1;1;1;4;1;2;3;2;2;2;3;3;2;3;3;2;1;5;1;2;2;1;2;1;3;;4;4;3;3
JOINT INSTITUTE FOR NUCLEAR RESEARCH;;Science and Research;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
MIDDLE EASTERN REGIONAL RADIOISOTOPE CENTRE FOR ARAB COUNTRIES;;Government;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;
MOROCCAN ASSOCIATION OF NUCLEAR ENGINEERS;AIGAM;Professional Association;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;1;1;;;;2;2;2
NATIONAL ASSOCIATION OF MANUFACTURERS;;Industry;1958;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUCLEAR ENERGY INSTITUTE;NEI;Peace, Law and IR;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;1;1;1;1;;;;;;;2;2;;
PACIFIC NUCLEAR COUNCIL;PNC;Professional Association;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;1;2;1;;;;;
PROGRAMME FOR PROMOTING NUCLEAR NON-PROLIFERATION;PPNN;Peace, Law and IR;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;1;3;1;2;1;2;2;2;2;;;;;;;;;;
THE CENTER FOR NONPROLIFERATION STUDIES;;Science and Research;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;7
THE EUROPEAN TECHNICAL SUPPORT ORGANISATIONS NETWORK;;Professional Association;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
THE INTERNATIONAL ECONOMIC ASSOCIATION FOR THE ORGANIZATION OF COOPERATION IN THE PRODUCTION AND SUPPLY OF EQUIPMENT AND FOR THE PROVISION OF TECHNICAL;;Industry;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
THE NUCLEAR POWER INSTITUTE;;Science and Research;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
THE NUCLEAR SECURITY SCIENCE AND POLICY INSTITUTE;;Science and Research;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
